,fps,duration,cudaTotal
avg_64,43.9064,22.8087,0
max_64,46.9023,25.6025,0
min_64,39.0586,21.3209,0
32,43.4324,23.0243,0
33,43.3146,23.0869,0
34,43.1174,23.1925,0
35,44.2902,22.5784,0
36,41.4636,24.1176,0
37,42.6174,23.4646,0
38,45.2,22.1239,0
39,44.8805,22.2814,0
40,41.764,23.9441,0
41,46.9023,21.3209,0
42,44.754,22.3444,0
43,43.4165,23.0327,0
44,44.0288,22.7124,0
45,43.1408,23.1799,0
46,43.2159,23.1396,0
47,45.7579,21.8541,0
48,45.4591,21.9978,0
49,43.3526,23.0667,0
50,44.3626,22.5415,0
51,44.7802,22.3313,0
52,41.2521,24.2412,0
53,46.5582,21.4785,0
54,45.6318,21.9146,0
55,40.809,24.5044,0
56,43.6042,22.9336,0
57,44.2247,22.6118,0
58,44.1165,22.6672,0
59,46.3076,21.5947,0
60,44.7626,22.3401,0
61,44.1004,22.6755,0
62,44.7176,22.3625,0
63,44.3266,22.5598,0
64,39.4898,25.323,0
65,39.0586,25.6025,0
66,44.6012,22.4209,0
67,42.9968,23.2576,0
68,46.2329,21.6296,0
69,46.6701,21.427,0
70,43.0967,23.2036,0
71,46.4541,21.5266,0
72,45.3464,22.0525,0
73,42.8631,23.3301,0
74,42.9553,23.28,0
75,44.5038,22.47,0
76,42.6636,23.4392,0
77,45.3901,22.0312,0
78,44.0477,22.7026,0
79,43.394,23.0447,0
80,44.0151,22.7195,0
81,41.7495,23.9524,0
82,42.8654,23.3289,0
83,44.0695,22.6914,0
84,46.1896,21.6499,0
85,43.1035,23.2,0
86,45.7459,21.8599,0
87,41.8412,23.8999,0
88,42.7535,23.3899,0
89,46.2631,21.6155,0
90,44.9113,22.2661,0
91,41.8177,23.9133,0
92,43.3513,23.0674,0
93,43.5782,22.9473,0
94,43.4695,23.0046,0
95,44.8592,22.292,0
