,fps,duration,cudaTotal
avg_64,44.7587,22.3501,0
max_64,46.4673,23.3848,0
min_64,42.7629,21.5205,0
32,44.5581,22.4426,0
33,44.191,22.629,0
34,43.6079,22.9316,0
35,43.0209,23.2445,0
36,43.953,22.7516,0
37,43.8939,22.7822,0
38,44.3614,22.5421,0
39,44.0845,22.6837,0
40,46.2501,21.6216,0
41,46.3244,21.5869,0
42,45.9301,21.7722,0
43,45.6219,21.9193,0
44,44.8162,22.3134,0
45,45.1323,22.1571,0
46,45.0499,22.1976,0
47,45.8617,21.8047,0
48,44.2399,22.604,0
49,44.4811,22.4814,0
50,45.2877,22.0811,0
51,45.6193,21.9205,0
52,44.722,22.3604,0
53,44.8363,22.3033,0
54,44.2634,22.592,0
55,44.0459,22.7036,0
56,45.2802,22.0847,0
57,45.2624,22.0934,0
58,44.1693,22.6401,0
59,42.7629,23.3848,0
60,46.1623,21.6627,0
61,43.2995,23.095,0
62,44.8729,22.2852,0
63,44.0743,22.689,0
64,44.8832,22.28,0
65,44.2648,22.5913,0
66,44.9448,22.2495,0
67,44.0236,22.7151,0
68,44.5217,22.4609,0
69,44.8366,22.3032,0
70,45.0248,22.21,0
71,44.6957,22.3735,0
72,45.4021,22.0254,0
73,46.4673,21.5205,0
74,45.7935,21.8372,0
75,43.5323,22.9714,0
76,45.8401,21.8149,0
77,45.1977,22.125,0
78,44.1237,22.6636,0
79,44.4372,22.5037,0
80,44.2576,22.595,0
81,44.4951,22.4744,0
82,43.9683,22.7437,0
83,43.852,22.804,0
84,43.4299,23.0256,0
85,45.7526,21.8567,0
86,45.8442,21.813,0
87,45.2242,22.1121,0
88,45.7904,21.8386,0
89,45.0838,22.1809,0
90,45.0972,22.1743,0
91,44.8513,22.2959,0
92,45.4747,21.9902,0
93,43.7583,22.8528,0
94,43.7186,22.8735,0
95,45.9301,21.7722,0
