,fps,duration,cudaTotal
avg_64,0.0202208,49454.1,0
max_64,0.0202691,49693,0
min_64,0.0201236,49336.2,0
32,0.0202639,49348.8,0
33,0.0202691,49336.2,0
34,0.0202023,49499.4,0
35,0.0202547,49371.4,0
36,0.0202538,49373.5,0
37,0.0202314,49428,0
38,0.0202429,49400,0
39,0.0202544,49371.9,0
40,0.0202494,49384.2,0
41,0.0202431,49399.6,0
42,0.0202408,49405.1,0
43,0.0202418,49402.8,0
44,0.0201938,49520.2,0
45,0.0202478,49388,0
46,0.0202487,49386,0
47,0.0202202,49455.5,0
48,0.0202363,49416.2,0
49,0.0201786,49557.5,0
50,0.0202364,49416,0
51,0.0202293,49433.2,0
52,0.0202361,49416.8,0
53,0.0202376,49413,0
54,0.0202334,49423.2,0
55,0.020243,49399.8,0
56,0.0202126,49474,0
57,0.0202131,49472.8,0
58,0.0202278,49437,0
59,0.020226,49441.2,0
60,0.0202274,49438,0
61,0.0202215,49452.2,0
62,0.0202357,49417.5,0
63,0.0202144,49469.8,0
64,0.0202248,49444.2,0
65,0.0202394,49408.5,0
66,0.0202288,49434.5,0
67,0.0202242,49445.8,0
68,0.0202371,49414.2,0
69,0.0202195,49457.2,0
70,0.0202248,49444.2,0
71,0.0201317,49673,0
72,0.0202144,49469.8,0
73,0.0202197,49456.8,0
74,0.0201646,49591.8,0
75,0.0202245,49445,0
76,0.0202049,49493,0
77,0.0202294,49433,0
78,0.0202156,49466.8,0
79,0.0202188,49459,0
80,0.0202209,49453.8,0
81,0.0202154,49467.2,0
82,0.0202208,49454,0
83,0.0202161,49465.5,0
84,0.0202149,49468.5,0
85,0.0202239,49446.5,0
86,0.0201843,49543.5,0
87,0.0201676,49584.5,0
88,0.020213,49473,0
89,0.020212,49475.5,0
90,0.0202086,49484,0
91,0.0201949,49517.5,0
92,0.0201236,49693,0
93,0.0202034,49496.5,0
94,0.0202218,49451.5,0
95,0.0202006,49503.5,0
