,fps,duration,cudaTotal
avg_64,1.64495,608.302,0
max_64,1.75254,667.506,0
min_64,1.49811,570.602,0
32,1.69153,591.182,0
33,1.63729,610.764,0
34,1.62884,613.936,0
35,1.6275,614.439,0
36,1.62757,614.414,0
37,1.63955,609.922,0
38,1.63849,610.318,0
39,1.70401,586.85,0
40,1.65596,603.879,0
41,1.61034,620.986,0
42,1.6424,608.865,0
43,1.6355,611.436,0
44,1.68005,595.221,0
45,1.69074,591.457,0
46,1.68877,592.148,0
47,1.63578,611.33,0
48,1.61399,619.582,0
49,1.49811,667.506,0
50,1.71248,583.949,0
51,1.62712,614.584,0
52,1.60967,621.244,0
53,1.68435,593.699,0
54,1.61805,618.027,0
55,1.61643,618.648,0
56,1.64046,609.586,0
57,1.63844,610.336,0
58,1.60316,623.77,0
59,1.63783,610.562,0
60,1.63285,612.426,0
61,1.63823,610.414,0
62,1.68941,591.922,0
63,1.63673,610.973,0
64,1.69875,588.668,0
65,1.62147,616.723,0
66,1.61886,617.719,0
67,1.61387,619.629,0
68,1.63169,612.863,0
69,1.6295,613.684,0
70,1.68427,593.73,0
71,1.67927,595.496,0
72,1.60315,623.773,0
73,1.68953,591.879,0
74,1.6158,618.887,0
75,1.61395,619.598,0
76,1.63307,612.344,0
77,1.63277,612.457,0
78,1.6044,623.285,0
79,1.62931,613.758,0
80,1.69275,590.754,0
81,1.62894,613.895,0
82,1.67324,597.645,0
83,1.61342,619.801,0
84,1.62549,615.199,0
85,1.61225,620.25,0
86,1.61596,618.828,0
87,1.75254,570.602,0
88,1.73736,575.586,0
89,1.6091,621.465,0
90,1.6216,616.676,0
91,1.70246,587.387,0
92,1.74484,573.117,0
93,1.62241,616.367,0
94,1.66887,599.207,0
95,1.62417,615.699,0
