,fps,duration,cudaTotal
avg_64,1.65424,604.91,0
max_64,1.76292,669.086,0
min_64,1.49458,567.242,0
32,1.69955,588.393,0
33,1.6245,615.574,0
34,1.63647,611.072,0
35,1.65437,604.459,0
36,1.64722,607.082,0
37,1.63172,612.852,0
38,1.65372,604.697,0
39,1.70342,587.055,0
40,1.69775,589.014,0
41,1.63221,612.666,0
42,1.67206,598.066,0
43,1.65165,605.455,0
44,1.70712,585.781,0
45,1.67843,595.795,0
46,1.71249,583.943,0
47,1.64104,609.371,0
48,1.64188,609.059,0
49,1.64228,608.91,0
50,1.69734,589.156,0
51,1.6486,606.574,0
52,1.62454,615.559,0
53,1.68328,594.078,0
54,1.63094,613.145,0
55,1.63243,612.582,0
56,1.49458,669.086,0
57,1.63112,613.074,0
58,1.62711,614.586,0
59,1.63947,609.953,0
60,1.62289,616.184,0
61,1.64533,607.781,0
62,1.71017,584.738,0
63,1.64928,606.324,0
64,1.71807,582.047,0
65,1.63074,613.219,0
66,1.62203,616.512,0
67,1.63948,609.949,0
68,1.63868,610.246,0
69,1.64074,609.48,0
70,1.70661,585.957,0
71,1.69017,591.656,0
72,1.64204,609,0
73,1.68348,594.008,0
74,1.60348,623.645,0
75,1.62159,616.68,0
76,1.64254,608.812,0
77,1.62182,616.59,0
78,1.62574,615.105,0
79,1.64495,607.922,0
80,1.69642,589.477,0
81,1.63748,610.695,0
82,1.6999,588.27,0
83,1.61634,618.684,0
84,1.62648,614.824,0
85,1.61487,619.246,0
86,1.61278,620.047,0
87,1.75304,570.438,0
88,1.76292,567.242,0
89,1.61053,620.914,0
90,1.62005,617.266,0
91,1.6969,589.309,0
92,1.74301,573.719,0
93,1.62042,617.125,0
94,1.69035,591.594,0
95,1.63266,612.496,0
