,fps,duration,cudaTotal
avg_64,2.77309,362.09,0
max_64,3.01869,457.463,0
min_64,2.18597,331.27,0
32,2.80669,356.292,0
33,2.95534,338.37,0
34,2.92758,341.579,0
35,2.96497,337.271,0
36,2.96827,336.896,0
37,2.97971,335.604,0
38,2.77952,359.774,0
39,2.94044,340.085,0
40,3.01545,331.626,0
41,2.62968,380.274,0
42,2.96278,337.521,0
43,2.92704,341.643,0
44,2.8085,356.062,0
45,2.7252,366.945,0
46,2.80423,356.604,0
47,2.58076,387.482,0
48,3.00054,333.273,0
49,2.80539,356.457,0
50,2.56211,390.303,0
51,2.56661,389.619,0
52,2.75711,362.699,0
53,2.57231,388.756,0
54,2.63085,380.105,0
55,2.78907,358.543,0
56,2.74606,364.158,0
57,2.71037,368.953,0
58,2.91384,343.189,0
59,2.93358,340.881,0
60,2.59786,384.932,0
61,2.74432,364.389,0
62,2.60971,383.184,0
63,2.61119,382.967,0
64,2.97867,335.721,0
65,2.98814,334.656,0
66,2.54395,393.09,0
67,2.77761,360.021,0
68,3.01869,331.27,0
69,2.64081,378.672,0
70,3.00279,333.023,0
71,2.72687,366.721,0
72,2.57735,387.996,0
73,2.60414,384.004,0
74,2.5832,387.117,0
75,2.94106,340.014,0
76,2.94566,339.482,0
77,2.57032,389.057,0
78,2.96511,337.256,0
79,2.75122,363.475,0
80,2.93849,340.311,0
81,2.61058,383.057,0
82,2.9545,338.467,0
83,2.90513,344.219,0
84,2.18597,457.463,0
85,2.95644,338.244,0
86,2.73441,365.709,0
87,2.76178,362.086,0
88,3.01235,331.967,0
89,2.76344,361.867,0
90,2.73756,365.289,0
91,2.62311,381.227,0
92,2.54541,392.863,0
93,2.60017,384.59,0
94,2.58779,386.43,0
95,2.61818,381.945,0
