,fps,duration,cudaTotal
avg_64,1.63924,610.317,0
max_64,1.70167,665.902,0
min_64,1.50172,587.658,0
32,1.60101,624.605,0
33,1.67232,597.971,0
34,1.68555,593.277,0
35,1.62168,616.645,0
36,1.68948,591.898,0
37,1.67923,595.51,0
38,1.61801,618.043,0
39,1.61787,618.098,0
40,1.6901,591.682,0
41,1.63083,613.184,0
42,1.66596,600.256,0
43,1.68917,592.006,0
44,1.6779,595.984,0
45,1.62646,614.832,0
46,1.63143,612.961,0
47,1.63186,612.799,0
48,1.70167,587.658,0
49,1.67743,596.148,0
50,1.62317,616.078,0
51,1.62724,614.539,0
52,1.6248,615.459,0
53,1.68498,593.48,0
54,1.61613,618.762,0
55,1.50172,665.902,0
56,1.62725,614.535,0
57,1.62014,617.23,0
58,1.62207,616.496,0
59,1.61689,618.473,0
60,1.68709,592.738,0
61,1.68524,593.387,0
62,1.64349,608.461,0
63,1.63449,611.812,0
64,1.62617,614.941,0
65,1.64174,609.109,0
66,1.63058,613.277,0
67,1.63293,612.395,0
68,1.63319,612.297,0
69,1.62689,614.668,0
70,1.63164,612.879,0
71,1.69265,590.789,0
72,1.62991,613.531,0
73,1.62457,615.547,0
74,1.54193,648.539,0
75,1.6164,618.66,0
76,1.60147,624.426,0
77,1.63318,612.301,0
78,1.63778,610.582,0
79,1.62583,615.07,0
80,1.67848,595.777,0
81,1.63775,610.594,0
82,1.6342,611.922,0
83,1.66973,598.898,0
84,1.63578,611.328,0
85,1.64895,606.445,0
86,1.64442,608.117,0
87,1.6196,617.438,0
88,1.61975,617.379,0
89,1.62742,614.469,0
90,1.69333,590.551,0
91,1.61414,619.523,0
92,1.60489,623.094,0
93,1.63424,611.906,0
94,1.61963,617.426,0
95,1.67926,595.5,0
