,fps,duration,cudaTotal
avg_64,1.27221,786.462,0
max_64,1.35102,848.703,0
min_64,1.17827,740.182,0
32,1.25656,795.824,0
33,1.30194,768.084,0
34,1.24925,800.479,0
35,1.30033,769.037,0
36,1.24682,802.043,0
37,1.35102,740.182,0
38,1.29341,773.152,0
39,1.25808,794.859,0
40,1.29952,769.518,0
41,1.25213,798.641,0
42,1.263,791.766,0
43,1.26314,791.676,0
44,1.28215,779.941,0
45,1.2924,773.754,0
46,1.29393,772.84,0
47,1.28097,780.656,0
48,1.33229,750.586,0
49,1.17827,848.703,0
50,1.28439,778.582,0
51,1.24914,800.551,0
52,1.28694,777.035,0
53,1.33646,748.246,0
54,1.25079,799.496,0
55,1.24849,800.969,0
56,1.2475,801.605,0
57,1.25133,799.148,0
58,1.24775,801.445,0
59,1.25147,799.062,0
60,1.24805,801.25,0
61,1.2906,774.836,0
62,1.25345,797.797,0
63,1.25456,797.094,0
64,1.28815,776.305,0
65,1.23934,806.883,0
66,1.25125,799.199,0
67,1.23951,806.77,0
68,1.23998,806.465,0
69,1.25076,799.516,0
70,1.29501,772.195,0
71,1.25727,795.371,0
72,1.30259,767.699,0
73,1.24891,800.699,0
74,1.28956,775.461,0
75,1.3447,743.66,0
76,1.26249,792.086,0
77,1.25193,798.766,0
78,1.26309,791.711,0
79,1.25831,794.719,0
80,1.25432,797.246,0
81,1.29914,769.738,0
82,1.24711,801.852,0
83,1.29441,772.555,0
84,1.25418,797.336,0
85,1.2953,772.023,0
86,1.25191,798.781,0
87,1.30195,768.078,0
88,1.25154,799.016,0
89,1.292,773.992,0
90,1.30163,768.266,0
91,1.2479,801.344,0
92,1.30203,768.031,0
93,1.25114,799.273,0
94,1.30306,767.422,0
95,1.29493,772.242,0
